Broad discipline	College/School 	Major name	Admit GPA range	Admit rate	Enroll GPA range	Yield rate	Admits	Applicants	Enrolls
Other Health Science	Not applicable	Bachelor of science in public health w/con in epidemiology	3.32 - 3.90	0.821428571	3.30 - 3.87	0.260869565	23	28	6
Other Health Science	Not applicable	Global health	3.42 - 3.82	0.860655738	3.28 - 3.78	0.371428571	105	122	39
Other/Interdisciplinary	Not applicable	Cognitive and behavioral neuroscience	3.38 - 3.85	0.616	3.36 - 3.83	0.402597403	77	125	31
Other/Interdisciplinary	Not applicable	Cognitive science	3.55 - 3.91	0.814207650	3.48 - 3.83	0.429530201	298	366	128
Other/Interdisciplinary	Not applicable	Communication arts	3.38 - 3.90	0.727272727	3.27 - 3.81	0.235372340	752	1034	177
Other/Interdisciplinary	Not applicable	Global south studies	3.23 - 3.82	0.588235294	masked	0.3	10	17	3
Other/Interdisciplinary	Not applicable	Interdisciplinary computer & the arts	3.50 - 3.83	0.727272727	3.42 - 3.66	0.458333333	24	33	11
Other/Interdisciplinary	Not applicable	International studies - anthropology	3.58 - 3.94	0.846153846	masked	0.181818182	22	26	4
Other/Interdisciplinary	Not applicable	International studies - economics	3.50 - 3.87	0.830434783	3.41 - 3.76	0.287958115	191	230	55
Other/Interdisciplinary	Not applicable	International studies - international business	3.38 - 3.85	0.732673267	3.25 - 3.77	0.337837838	370	505	125
Other/Interdisciplinary	Not applicable	International studies - linguistics	3.30 - 3.76	0.75	masked	0.222222222	18	24	4
Other/Interdisciplinary	Not applicable	International studies - political science	3.25 - 3.98	0.637681159	3.19 - 3.78	0.295454545	44	69	13
Other/Interdisciplinary	Not applicable	International studies - sociology	3.63 - 4.00	0.753424658	3.94 - 4.00	0.145454545	55	73	8
Other/Interdisciplinary	Not applicable	Linguistics	3.40 - 4.00	0.726027397	masked	0.056603774	53	73	3
Other/Interdisciplinary	Not applicable	Mathematics - computer science	3.55 - 3.95	0.810397554	3.33 - 3.85	0.324528302	265	327	86
Physical Sciences/Math	Not applicable	Applied mathematics	3.60 - 3.95	0.673076923	3.41 - 3.74	0.161904762	105	156	17
Physical Sciences/Math	Not applicable	Chemistry	3.48 - 3.95	0.434523810	3.26 - 3.72	0.178082192	73	168	13
Physical Sciences/Math	Not applicable	Chemistry - biochemistry	3.51 - 3.90	0.494505495	3.45 - 3.92	0.344444444	90	182	31
Physical Sciences/Math	Not applicable	Mathematics	3.48 - 3.88	0.651685393	3.33 - 3.85	0.183908046	174	267	32
Physical Sciences/Math	Not applicable	Mathematics - applied science	3.58 - 3.87	0.75	masked	0.190476190	21	28	4
Physical Sciences/Math	Not applicable	Mathematics/economics	3.60 - 4.00	0.635135135	2.75 - 3.42	0.106382979	47	74	5
Physical Sciences/Math	Not applicable	Pharmacological chemistry	3.58 - 3.90	0.414634146	3.55 - 3.86	0.352941176	17	41	6
Physical Sciences/Math	Not applicable	Physics	3.62 - 3.95	0.510638298	3.36 - 3.84	0.145833333	48	94	7
Physical Sciences/Math	Not applicable	Probability and statistics	3.68 - 3.93	0.677083333	3.80 - 3.91	0.123076923	65	96	8
Public Health	Not applicable	Public health	3.32 - 3.85	0.694117647	3.23 - 3.79	0.364406780	118	170	43
Social Sciences	Not applicable	Anthropology	3.34 - 3.79	0.7	3.18 - 3.70	0.234693878	98	140	23
Social Sciences	Not applicable	Anthropology with concentration in climate change and human solutions	3.47 - 3.82	0.755555556	3.33 - 3.58	0.147058824	34	45	5
Social Sciences	Not applicable	Anthropology(concentration in sociocultral anthropology)	3.38 - 3.91	0.757894737	3.13 - 3.70	0.097222222	72	95	7
Social Sciences	Not applicable	Biological anthropology	3.37 - 3.76	0.9	3.37 - 3.63	0.253968254	63	70	16
Social Sciences	Not applicable	Business psychology	3.30 - 3.84	0.706382979	3.14 - 3.56	0.228915663	166	235	38
Social Sciences	Not applicable	Economics	3.54 - 3.92	0.646778043	3.46 - 3.88	0.308118081	542	838	167
Social Sciences	Not applicable	Ethnic studies	3.28 - 3.94	0.612903226	masked	0.157894737	19	31	3
Social Sciences	Not applicable	Human developmental sciences	3.43 - 3.80	0.831683168	3.36 - 3.79	0.357142857	84	101	30
Social Sciences	Not applicable	Human developmental sciences with specialization in equity and diversity	3.49 - 3.76	0.666666667	masked	0.666666667	6	9	4
Social Sciences	Not applicable	Japanese studies	3.45 - 3.86	0.75	3.07 - 3.48	0.145833333	48	64	7
Social Sciences	Not applicable	Political science	3.44 - 3.91	0.766666667	3.20 - 3.75	0.184782609	460	600	85
Social Sciences	Not applicable	Political science - american politics	3.59 - 3.90	0.842105263	3.17 - 3.90	0.15625	32	38	5
Social Sciences	Not applicable	Political science - international relations	3.42 - 3.83	0.691056911	3.37 - 3.82	0.188235294	85	123	16
Social Sciences	Not applicable	Political science - public law	3.42 - 3.90	0.703703704	3.19 - 3.79	0.254385965	114	162	29
Social Sciences	Not applicable	Political science - public policy	3.46 - 3.86	0.803571429	3.44 - 3.77	0.155555556	45	56	7
Social Sciences	Not applicable	Political science /race, ethnicity and politics	3.37 - 3.91	0.8	masked	0.2	20	25	4
Social Sciences	Not applicable	Political science/data analytics	3.51 - 3.88	0.946236559	3.29 - 3.91	0.215909091	88	93	19
Social Sciences	Not applicable	Psychology	3.39 - 3.88	0.713901948	3.34 - 3.84	0.298212606	1063	1489	317
Social Sciences	Not applicable	Psychology with a specialization in clinical psychology	3.40 - 3.84	0.688235294	3.37 - 3.83	0.393162393	117	170	46
Social Sciences	Not applicable	Psychology with a specialization in cognitive psychology	3.37 - 3.92	0.785714286	3.56 - 3.93	0.333333333	33	42	11
Social Sciences	Not applicable	Psychology with a specialization in developmental psychology	3.23 - 3.86	0.568965517	3.16 - 3.80	0.393939394	33	58	13
Social Sciences	Not applicable	Psychology with a specialization in human health	3.44 - 3.87	0.769230769	3.39 - 3.83	0.55	40	52	22
Social Sciences	Not applicable	Psychology with a specialization in social psychology	3.39 - 3.86	0.488888889	3.33 - 3.66	0.318181818	22	45	7
Social Sciences	Not applicable	Sociology	3.42 - 3.91	0.801144492	3.17 - 3.68	0.139285714	560	699	78
Social Sciences	Not applicable	Sociology - culture and communications	3.33 - 3.87	0.769230769	3.24 - 3.89	0.4	30	39	12
Social Sciences	Not applicable	Sociology - economy and society	3.43 - 3.83	0.735849057	3.47 - 3.73	0.307692308	39	53	12
Social Sciences	Not applicable	Sociology - law and society	3.27 - 3.87	0.688235294	3.13 - 3.82	0.273504274	117	170	32
Social Sciences	Not applicable	Sociology - science and medicine	3.41 - 3.89	0.859649123	3.34 - 3.96	0.204081633	49	57	10
Social Sciences	Not applicable	Sociology - social inequality	3.40 - 3.86	0.677419355	3.28 - 3.47	0.238095238	21	31	5
Social Sciences	Not applicable	Urban studies & planning	3.33 - 3.83	0.722891566	3.53 - 3.79	0.266666667	60	83	16
